iteration=0 active=1 norm2=0.0060732472014140863 gap=0.005269851957841248
iteration=1 active=2 norm2=0.0059655813699637855 gap=0.0048875752699328468
iteration=2 active=3 norm2=0.0056636706082594983 gap=0.0040588822432135428
iteration=3 active=4 norm2=0.0053924008756321105 gap=0.0038080081703900414
iteration=4 active=5 norm2=0.0039360209071606722 gap=0.002609791743444688
iteration=5 active=6 norm2=0.0038928515443478352 gap=0.0024628800832275127
iteration=6 active=7 norm2=0.0038489255279834781 gap=0.0023581451119551794
iteration=7 active=8 norm2=0.0037802593337444425 gap=0.0022389834036176002
iteration=8 active=9 norm2=0.0036490601980929418 gap=0.0021203861469946518
iteration=9 active=10 norm2=0.0031264580471214421 gap=0.0017874291110978381
iteration=10 active=11 norm2=0.0030871971423514638 gap=0.0016266289864420851
iteration=11 active=12 norm2=0.0030483742983397856 gap=0.001523457942185753
iteration=12 active=13 norm2=0.0029850352048110436 gap=0.0014462233508988449
iteration=13 active=13 norm2=0.0027902139574154028 gap=0.0012770306884778498
iteration=14 active=14 norm2=0.0027748344996060322 gap=0.0012057074929017562
iteration=15 active=15 norm2=0.0027128059513563561 gap=0.001129859910390882
iteration=16 active=16 norm2=0.0026125583420513903 gap=0.0010440587812371544
iteration=17 active=17 norm2=0.0025566650908645516 gap=0.00096632709166654253
iteration=18 active=17 norm2=0.002495867509053271 gap=0.00087467574203474907
iteration=19 active=18 norm2=0.0024510288385239062 gap=0.00083884103387283
iteration=20 active=18 norm2=0.0024160792829399213 gap=0.0007543081907058775
iteration=21 active=19 norm2=0.0023842100934426918 gap=0.0007035664022305621
iteration=22 active=20 norm2=0.0023550082682722113 gap=0.00066260312458420352
iteration=23 active=21 norm2=0.0023298024608214693 gap=0.00064347559284233936
iteration=24 active=21 norm2=0.0023117919416591596 gap=0.00059790140324761398
iteration=25 active=21 norm2=0.0022926378241593061 gap=0.00058188885860907492
iteration=26 active=21 norm2=0.0022838336647514079 gap=0.00054212327933051861
iteration=27 active=22 norm2=0.0022661549499308703 gap=0.00052706683413343471
iteration=28 active=23 norm2=0.0022486746844061524 gap=0.00052895057118800665
iteration=29 active=24 norm2=0.0022359335203058195 gap=0.0005071163362967417
iteration=30 active=24 norm2=0.002224426761179771 gap=0.00047612274763723711
iteration=31 active=25 norm2=0.00221310867376161 gap=0.00045153433290746263
iteration=32 active=26 norm2=0.0022041307842031472 gap=0.00043458311375017627
iteration=33 active=27 norm2=0.0021967908667191571 gap=0.00042345281747292523
iteration=34 active=28 norm2=0.0021897001687537759 gap=0.00039794024432768769
iteration=35 active=29 norm2=0.0021818525534416755 gap=0.00038748549469556286
iteration=36 active=30 norm2=0.0021756919839362497 gap=0.00038168120418514127
iteration=37 active=31 norm2=0.0021697988428436769 gap=0.0003691220070718231
iteration=38 active=32 norm2=0.0021625294148088867 gap=0.00037335866829879202
iteration=39 active=33 norm2=0.0021574382751339501 gap=0.00034834147907984096
iteration=40 active=33 norm2=0.0021516961598076838 gap=0.00033776635703500592
iteration=41 active=34 norm2=0.0021475951712045822 gap=0.00031540063627194179
iteration=42 active=35 norm2=0.0021436404430288571 gap=0.00029247505972794388
