x,y,ell_A,ell_A_exact
0,-1,0.001889923730794833,38009674340/20111750395353
0,-0.5,0.0018926806870969959,38065121557/20111750395353
0,0,0.0018954376433991591,12706856258/6703916798451
0,0.5,0.0018981945997013222,38176015991/20111750395353
0,1,0.0019009515560034853,38231463208/20111750395353
0,1.5,0.0019037085123056485,12762303475/6703916798451
0,2,0.0019064654686078116,38342357642/20111750395353
0,2.5,0.0019092224249099747,38397804859/20111750395353
0,3,0.0019119793812121379,4272583564/2234638932817
0,3.5,0.001914736337514301,38508699293/20111750395353
0,4,0.0019174932938164641,38564146510/20111750395353
0,4.5,0.0019202502501186273,12873197909/6703916798451
0,5,0.0019230072064207904,38675040944/20111750395353
0,5.5,0.0019257641627229533,38730488161/20111750395353
0,6,0.0019285211190251165,12928645126/6703916798451
0,6.5,0.0019312780753272796,38841382595/20111750395353
0,7,0.0019340350316294427,38896829812/20111750395353
0,7.5,0.0019367919879316059,4328030781/2234638932817
0,8,0.001939548944233769,39007724246/20111750395353
0,8.5,0.0019423059005359321,39063171463/20111750395353
0,9,0.0019450628568380953,13039539560/6703916798451
0,9.5,0.0019478198131402584,39174065897/20111750395353
0,10,0.0019505767694424215,39229513114/20111750395353
0,10.5,0.0019533337257445845,13094986777/6703916798451
0,11,0.0019560906820467478,39340407548/20111750395353
0,11.5,0.0019588476383489107,39395854765/20111750395353
0,12,0.0019616045946510736,4383477998/2234638932817
0,12.5,0.001964361550953237,39506749199/20111750395353
0,13,0.0019671185072553999,39562196416/20111750395353
0,13.5,0.0019698754635575633,13205881211/6703916798451
0,14,0.0019726324198597262,39673090850/20111750395353
0,14.5,0.0019753893761618895,39728538067/20111750395353
0,15,0.0019781463324640525,13261328428/6703916798451
0,15.5,0.0019809032887662158,39839432501/20111750395353
0,16,0.0019836602450683787,39894879718/20111750395353
0,16.5,0.0019864172013705421,4438925215/2234638932817
0,17,0.001989174157672705,40005774152/20111750395353
0,17.5,0.0019919311139748679,367534141/184511471517
0,18,0.0019946880702770313,13372222862/6703916798451
0,18.5,0.0019974450265791942,40172115803/20111750395353
0,19,0.0020002019828813575,40227563020/20111750395353
0,19.5,0.0020029589391835204,13427670079/6703916798451
0,20,0.0020057158954856838,40338457454/20111750395353
0,20.5,0.0020084728517878467,40393904671/20111750395353
0,21,0.0020112298080900101,4494372432/2234638932817
0.5,-1,0.0019212981601008866,38640669031/20111750395353
0.5,-0.5,0.0019240551164030498,4299568472/2234638932817
0.5,0,0.0019268120727052129,38751563465/20111750395353
0.5,0.5,0.001929569029007376,38807010682/20111750395353
0.5,1,0.0019323259853095392,118845437/61503823839
0.5,1.5,0.0019350829416117021,38917905116/20111750395353
0.5,2,0.0019378398979138652,38973352333/20111750395353
0.5,2.5,0.0019405968542160284,13009599850/6703916798451
0.5,3,0.0019433538105181915,39084246767/20111750395353
0.5,3.5,0.0019461107668203546,39139693984/20111750395353
0.5,4,0.0019488677231225178,4355015689/2234638932817
0.5,4.5,0.0019516246794246809,39250588418/20111750395353
0.5,5,0.0019543816357268438,39306035635/20111750395353
0.5,5.5,0.0019571385920290072,13120494284/6703916798451
0.5,6,0.0019598955483311701,39416930069/20111750395353
0.5,6.5,0.0019626525046333334,39472377286/20111750395353
0.5,7,0.0019654094609354964,13175941501/6703916798451
0.5,7.5,0.0019681664172376593,39583271720/20111750395353
0.5,8,0.0019709233735398226,39638718937/20111750395353
0.5,8.5,0.0019736803298419855,4410462906/2234638932817
