cell,vertex,x,y
0,0,0,-0.5
0,1,0.5,-1
0,2,0,0
1,0,0,-1
1,1,0.5,-1
1,2,0,-0.5
2,0,0,0
2,1,0.5,-1
2,2,1,-1
3,0,0,18.5
3,1,1,16.5
3,2,0,19.5
4,0,0,0.5
4,1,0.5,1
4,2,0,2.5
5,0,0,0
5,1,0.5,1
5,2,0,0.5
6,0,0,4
6,1,0.5,1
6,2,0,6.5
7,0,0,2.5
7,1,0.5,1
7,2,0,4
8,0,0,19.5
8,1,1,16.5
8,2,1.5,16.5
9,0,0,9.5
9,1,0.5,11
9,2,0,11
10,0,0,11
10,1,0.5,12.5
10,2,0,14.5
11,0,2,16
11,1,3.5,12.5
11,2,2,17.5
12,0,0,11
12,1,0.5,11
12,2,0.5,12.5
13,0,2.5,17
13,1,3.5,14
13,2,4.5,12.5
14,0,0,21
14,1,1,19.5
14,2,1.5,19.5
15,0,0,0
15,1,1,-1
15,2,0.5,1
16,0,0,21
16,1,0.5,20
16,2,1,19.5
17,0,0,6.5
17,1,1,5.5
17,2,0,8.5
18,0,0,8.5
18,1,2,6.5
18,2,0,9.5
19,0,3,17.5
19,1,3.5,16
19,2,3.5,16.5
20,0,0,19.5
20,1,0.5,20
20,2,0,21
21,0,0,14.5
21,1,0.5,12.5
21,2,2.5,13
22,0,2.5,17
22,1,4.5,12.5
22,2,3,16.5
23,0,0,9.5
23,1,2,6.5
23,2,0.5,11
24,0,0,14.5
24,1,0.5,16.5
24,2,0,18.5
25,0,0,18.5
25,1,0.5,16.5
25,2,1,16.5
26,0,0.5,21
26,1,1.5,20.5
26,2,1,21
27,0,1.5,19.5
27,1,2,17.5
27,2,2.5,17
28,0,1,-1
28,1,2.5,-1
28,2,2.5,0
29,0,2.5,0
29,1,3,-1
29,2,3.5,-0.5
30,0,0,14.5
30,1,2.5,13
30,2,1,16.5
31,0,0,6.5
31,1,0.5,1
31,2,1.5,4.5
32,0,0.5,1
32,1,1,-1
32,2,1.5,0.5
33,0,1.5,16.5
33,1,2,17.5
33,2,1.5,18
34,0,0.5,1
34,1,1.5,0.5
34,2,2,3
35,0,0,6.5
35,1,1.5,4.5
35,2,1,5.5
36,0,3,16.5
36,1,4,15
36,2,3.5,16
37,0,0,21
37,1,1.5,19.5
37,2,1.5,20.5
38,0,1,19.5
38,1,1.5,18
38,2,2,17.5
39,0,0,14.5
39,1,1,16.5
39,2,0.5,16.5
40,0,0,21
40,1,1.5,20.5
40,2,0.5,21
41,0,0,19.5
41,1,1.5,18
41,2,0.5,20
42,0,1.5,19.5
42,1,2,19.5
42,2,1.5,20.5
43,0,0,8.5
43,1,1,5.5
43,2,2,6.5
44,0,0.5,20
44,1,1.5,18
44,2,1,19.5
45,0,2,19.5
45,1,2.5,19
45,2,2,20
46,0,3,17.5
46,1,3.5,16.5
46,2,3,18
47,0,1.5,16.5
47,1,2,16
47,2,2,17.5
48,0,1,5.5
48,1,1.5,4.5
48,2,2,6.5
49,0,1.5,4.5
49,1,2.5,3.5
49,2,2,6.5
50,0,2,19.5
50,1,2.5,17
50,2,2.5,18.5
51,0,0.5,1
51,1,2,3
51,2,1.5,4.5
52,0,0.5,11
52,1,2,6.5
52,2,0.5,12.5
53,0,2,3
53,1,2.5,0
53,2,2.5,3.5
54,0,1,19.5
54,1,2,17.5
54,2,1.5,19.5
55,0,1.5,0.5
55,1,2.5,0
55,2,2,3
56,0,2,6.5
56,1,3.5,4.5
56,2,3.5,9.5
57,0,0.5,12.5
57,1,2,6.5
57,2,3.5,9.5
58,0,0,19.5
58,1,1.5,16.5
58,2,1.5,18
59,0,1.5,4.5
59,1,2,3
59,2,2.5,3.5
60,0,2.5,17
60,1,3,16.5
60,2,3,17.5
61,0,1.5,20.5
61,1,2,19.5
61,2,2,20
62,0,2.5,3.5
62,1,3.5,-0.5
62,2,4.5,-1
63,0,2.5,3.5
63,1,4.5,-1
63,2,4.5,1.5
64,0,1,-1
64,1,2.5,0
64,2,1.5,0.5
65,0,1,16.5
65,1,2.5,13
65,2,1.5,16.5
66,0,3,16.5
66,1,3.5,16
66,2,3,17.5
67,0,3.5,16
67,1,4,15
67,2,3.5,16.5
68,0,2.5,-1
68,1,3,-1
68,2,2.5,0
69,0,4,15
69,1,4.5,12.5
69,2,4.5,13
70,0,1.5,16.5
70,1,2.5,13
70,2,3.5,12.5
71,0,2.5,17
71,1,3,17.5
71,2,2.5,18.5
72,0,4.5,1.5
72,1,5.5,-1
72,2,5.5,0
73,0,2,19.5
73,1,2.5,18.5
73,2,3,18
74,0,3,-1
74,1,4.5,-1
74,2,3.5,-0.5
75,0,1.5,19.5
75,1,2.5,17
75,2,2,19.5
76,0,6.5,0.5
76,1,7,-1
76,2,7,0.5
77,0,3.5,12.5
77,1,5,8.5
77,2,4.5,11.5
78,0,2.5,0
78,1,3.5,-0.5
78,2,2.5,3.5
79,0,2,17.5
79,1,3.5,12.5
79,2,3.5,14
80,0,4.5,-1
80,1,5.5,-1
80,2,4.5,1.5
81,0,1.5,16.5
81,1,3.5,12.5
81,2,2,16
82,0,2,6.5
82,1,2.5,3.5
82,2,3.5,4.5
83,0,2.5,18.5
83,1,3,17.5
83,2,3,18
84,0,2.5,13
84,1,3.5,9.5
84,2,4,10
85,0,0.5,12.5
85,1,3.5,9.5
85,2,2.5,13
86,0,5.5,8.5
86,1,6.5,3
86,2,7,1
87,0,2,19.5
87,1,3,18
87,2,2.5,19
88,0,3.5,4.5
88,1,5,3.5
88,2,3.5,9.5
89,0,4.5,11.5
89,1,5,8.5
89,2,4.5,12.5
90,0,3,16.5
90,1,4.5,12.5
90,2,4,15
91,0,4.5,12.5
91,1,5,8.5
91,2,5.5,8
92,0,2,17.5
92,1,3.5,14
92,2,2.5,17
93,0,6,0
93,1,7,-1
93,2,6.5,0.5
94,0,3.5,4.5
94,1,4.5,1.5
94,2,6,0
95,0,2.5,13
95,1,4,10
95,2,3.5,12.5
96,0,3.5,12.5
96,1,4,10
96,2,5,8.5
97,0,3.5,9.5
97,1,5,3.5
97,2,4,10
98,0,4.5,1.5
98,1,5.5,0
98,2,6,0
99,0,2.5,3.5
99,1,4.5,1.5
99,2,3.5,4.5
100,0,3.5,12.5
100,1,4.5,11.5
100,2,4.5,12.5
101,0,4,10
101,1,5,3.5
101,2,5,8.5
102,0,3.5,12.5
102,1,4.5,12.5
102,2,3.5,14
103,0,5,8.5
103,1,6.5,1.5
103,2,6.5,3
104,0,3.5,4.5
104,1,6,0
104,2,5,3.5
105,0,4.5,12.5
105,1,5.5,8
105,2,5.5,8.5
106,0,4.5,12.5
106,1,5,11
106,2,4.5,13
107,0,5.5,-1
107,1,6,0
107,2,5.5,0
108,0,4.5,12.5
108,1,5.5,8.5
108,2,5,11
109,0,5,3.5
109,1,6,0
109,2,6.5,0.5
110,0,5,8.5
110,1,6.5,3
110,2,5.5,8
111,0,5.5,-1
111,1,6.5,-1
111,2,6,0
112,0,5,3.5
112,1,6.5,0.5
112,2,6.5,1.5
113,0,5.5,8
113,1,6.5,3
113,2,5.5,8.5
114,0,6.5,0.5
114,1,7,0.5
114,2,6.5,1.5
115,0,6,0
115,1,6.5,-1
115,2,7,-1
116,0,5,3.5
116,1,6.5,1.5
116,2,5,8.5
117,0,6.5,1.5
117,1,7,0.5
117,2,7,1
118,0,6.5,1.5
118,1,7,1
118,2,6.5,3
