i,j,l
2,1,45
1,0,45
90,2,45
39,125,41
3,49,7
49,3,2
10,49,15
7,49,10
170,41,125
21,69,24
72,31,24
213,329,216
69,72,24
398,258,332
131,176,44
2,90,49
131,44,87
15,103,19
21,19,194
336,337,300
87,44,41
72,250,31
298,258,398
194,69,21
39,31,80
39,80,125
178,134,89
216,258,176
90,222,224
224,263,303
125,31,250
15,49,146
90,138,49
173,170,216
49,138,187
15,146,103
298,370,336
176,178,44
131,173,216
125,80,31
44,178,89
87,41,173
220,178,176
103,194,19
131,87,173
262,221,220
337,301,300
216,170,213
146,194,103
231,194,146
258,261,220
146,49,187
194,72,69
231,187,224
131,216,176
187,138,224
313,323,194
323,72,194
173,41,170
187,231,146
258,298,300
221,178,220
371,231,303
371,376,231
138,90,224
250,170,125
298,336,300
370,337,336
222,263,224
399,370,398
250,329,170
258,300,261
376,425,427
261,301,220
303,263,371
176,258,220
463,470,473
396,329,419
231,224,303
332,216,329
425,376,371
170,329,213
194,231,313
300,301,261
250,323,360
323,250,72
474,444,468
301,262,220
323,313,409
396,419,398
298,398,370
419,443,398
332,258,216
447,470,463
447,313,376
250,360,329
360,419,329
409,360,323
447,376,427
313,231,376
396,398,329
419,360,409
332,329,398
468,419,465
447,409,313
443,444,398
424,399,398
447,427,425
444,424,398
409,447,463
443,419,468
425,460,447
463,465,409
468,444,443
465,463,473
447,460,470
465,419,409
465,473,474
465,474,468
