x,y,sigma,sigma_exact,ell_A,ell_A_exact
-40,48,0.00054103659642088474,,0.00039556344778168508,6466461876557/16347470709998201
-39,41,0.00041299184809924223,,0.00039514812044301321,6459672325053/16347470709998201
-39,42,0.00041355228654928048,,0.00039519622782545078,19381376277235/49042412129994603
-39,43,0.00041415371865990963,,0.00039524433520788841,19383735579311/49042412129994603
-39,44,0.00041501031933730622,,0.00039529244259032598,6462031627129/16347470709998201
-39,45,0.00041578985862878983,,0.00039534054997276361,19388454183463/49042412129994603
-39,46,0.00041669092256373526,,0.00039538865735520119,19390813485539/49042412129994603
-39,47,0.00041787098916766058,,0.00039543676473763881,6464390929205/16347470709998201
-38,34,0.00040730990037916208,,0.00039473279310434133,6452882773549/16347470709998201
-38,35,0.00040776139317102512,,0.0003947809004867789,19361007622723/49042412129994603
-38,36,0.00040797575056313777,,0.00039482900786921653,19363366924799/49042412129994603
-38,37,0.00040843431086456185,,0.00039487711525165411,6455242075625/16347470709998201
-38,38,0.00040892739890456851,,0.00039492522263409174,19368085528951/49042412129994603
-38,39,0.00040960880247875294,,0.00039497333001652931,19370444831027/49042412129994603
-38,40,0.00041063753317984255,,0.00039502143739896694,6457601377701/16347470709998201
-38,41,0.00041125066632312091,,0.00039506954478140451,19375163435179/49042412129994603
-38,42,0.0004116119749134367,,0.00039511765216384209,19377522737255/49042412129994603
-38,43,0.00041248347905527619,,0.00039516575954627971,6459960679777/16347470709998201
-38,44,0.00041365612457096567,,0.00039521386692871729,19382241341407/49042412129994603
-38,45,0.00041452494437379405,,0.00039526197431115492,19384600643483/49042412129994603
-38,46,0.0004158675588724359,,0.00039531008169359249,6462319981853/16347470709998201
-37,27,0.00040300922657941177,,0.00039431746576566945,6446093222045/16347470709998201
-37,28,0.00040305322016258668,,0.00039436557314810703,19340638968211/49042412129994603
-37,29,0.00040393626472557379,,0.00039441368053054466,19342998270287/49042412129994603
-37,30,0.00040346419572736853,,0.00039446178791298223,6448452524121/16347470709998201
-37,31,0.00040391280456306063,,0.00039450989529541986,19347716874439/49042412129994603
-37,32,0.00040375402284905179,,0.00039455800267785743,19350076176515/49042412129994603
-37,33,0.00040454908821585517,,0.00039460611006029506,6450811826197/16347470709998201
-37,34,0.0004050014210113994,,0.00039465421744273264,19354794780667/49042412129994603
-37,35,0.00040560478573701517,,0.00039470232482517021,19357154082743/49042412129994603
-37,36,0.00040619957846886438,,0.00039475043220760784,6453171128273/16347470709998201
-37,37,0.00040672919889151457,,0.00039479853959004541,19361872686895/49042412129994603
-37,38,0.00040730270983119514,,0.00039484664697248304,19364231988971/49042412129994603
-37,39,0.00040824640156999017,,0.00039489475435492061,6455530430349/16347470709998201
-37,40,0.00041004023644062633,,0.00039494286173735824,19368950593123/49042412129994603
-37,41,0.00040923199156089353,,0.00039499096911979582,19371309895199/49042412129994603
-37,42,0.00041018534370135528,,0.00039503907650223345,6457889732425/16347470709998201
-37,43,0.00041127466754982986,,0.00039508718388467102,19376028499351/49042412129994603
-37,44,0.00041244052208930433,,0.00039513529126710865,19378387801427/49042412129994603
-37,45,0.00041412506380891128,,0.00039518339864954622,6460249034501/16347470709998201
-36,20,0.00040087766418091893,,0.00039390213842699758,6439303670541/16347470709998201
-36,21,0.00040050344338302314,,0.00039395024580943515,19320270313699/49042412129994603
-36,22,0.00040031268321116727,,0.00039399835319187278,19322629615775/49042412129994603
-36,23,0.00040018468937721633,,0.00039404646057431035,6441662972617/16347470709998201
-36,24,0.00040037092981932743,,0.00039409456795674798,19327348219927/49042412129994603
-36,25,0.00040028724747484767,,0.00039414267533918556,19329707522003/49042412129994603
-36,26,0.00040109447470615926,,0.00039419078272162318,6444022274693/16347470709998201
-36,27,0.00040072202780211597,,0.00039423889010406076,19334426126155/49042412129994603
-36,28,0.00040087980665856415,,0.00039428699748649833,19336785428231/49042412129994603
-36,29,0.00040103251160016306,,0.00039433510486893596,6446381576769/16347470709998201
-36,30,0.00040250004950973336,,0.00039438321225137354,19341504032383/49042412129994603
-36,31,0.00040185127453246523,,0.00039443131963381116,19343863334459/49042412129994603
-36,32,0.00040182902924649453,,0.00039447942701624874,6448740878845/16347470709998201
-36,33,0.00040383352125317737,,0.00039452753439868637,19348581938611/49042412129994603
-36,34,0.00040301613159477584,,0.00039457564178112394,19350941240687/49042412129994603
-36,35,0.0004036998758196703,,0.00039462374916356157,6451100180921/16347470709998201
-36,36,0.00040476367121207869,,0.00039467185654599914,19355659844839/49042412129994603
-36,37,0.00040488727209933584,,0.00039471996392843677,19358019146915/49042412129994603
-36,38,0.00040590225205585799,,0.00039476807131087435,6453459482997/16347470709998201
