x,y,sigma,sigma_exact,ell_A,ell_A_exact
-20,-5,0.0014208477467039828,,0.0014207631201632802,336245311/236665286583
-19,-6,0.0014222088321039867,,0.001422190297781412,1682915372/1183326432915
-19,-5,0.0014203752672517602,,0.0014203334323055117,152792554/107575130265
-19,-4,0.0014185191730776126,,0.0014184765668296116,1678520816/1183326432915
-19,-3,0.0014167551439477446,,0.0014166197013537115,1676323538/1183326432915
-18,-7,0.0014236379075552655,,0.0014236174753995438,1684604189/1183326432915
-18,-6,0.0014217243075330269,,0.0014217606099236435,1682406911/1183326432915
-18,-5,0.0014198710055091928,,0.0014199037444477434,1680209633/1183326432915
-18,-4,0.00141805844871188,,0.0014180468789718431,335602471/236665286583
-18,-3,0.0014162344796587838,,0.001416190013495943,1675815077/1183326432915
-18,-2,0.0014143992186850562,,0.0014143331480200427,1673617799/1183326432915
-18,-1,0.0014125776696200778,,0.0014124762825441426,1671420521/1183326432915
-17,-8,0.0014249951658735441,,0.0014250446530176756,1686293006/1183326432915
-17,-7,0.0014231162168046015,,0.0014231877875417753,1684095728/1183326432915
-17,-6,0.0014212629597017766,,0.0014213309220658752,336379690/236665286583
-17,-5,0.001419433646520204,,0.0014194740565899749,1679701172/1183326432915
-17,-4,0.0014175901821394219,,0.0014176171911140748,152500354/107575130265
-17,-3,0.0014157650526428361,,0.0014157603256381745,1675306616/1183326432915
-17,-2,0.0014139058584276938,,0.0014139034601622744,1673109338/1183326432915
-17,-1,0.0014120828141581223,,0.0014120465946863741,334182412/236665286583
-17,0,0.0014102647233104253,,0.001410189729210474,1668714782/1183326432915
-17,1,0.0014084661066599553,,0.0014083328637345737,1666517504/1183326432915
-16,-9,0.0014264332572796979,,0.0014264718306358072,153452893/107575130265
-16,-8,0.0014245658653582805,,0.0014246149651599071,337156909/236665286583
-16,-7,0.0014226650865066639,,0.0014227580996840068,1683587267/1183326432915
-16,-6,0.0014208057223947666,,0.0014209012342081067,1681389989/1183326432915
-16,-5,0.0014189513641916294,,0.0014190443687322064,1679192711/1183326432915
-16,-4,0.0014170917054692786,,0.0014171875032563063,1676995433/1183326432915
-16,-3,0.0014152751021691112,,0.0014153306377804062,334959631/236665286583
-16,-2,0.001413446470162421,,0.0014134737723045059,1672600877/1183326432915
-16,-1,0.0014115986972292232,,0.0014116169068286058,1670403599/1183326432915
-16,0,0.0014097553783578047,,0.0014097600413527055,1668206321/1183326432915
-16,1,0.0014079629100774375,,0.0014079031758768054,1666009043/1183326432915
-16,2,0.0014061669750238504,,0.0014060463104009051,30251123/21515026053
-16,3,0.0014043506102078319,,0.001404189444925005,1661614487/1183326432915
-15,-10,0.0014278863116817455,,0.001427899008253939,337934128/236665286583
-15,-9,0.0014260307254662535,,0.0014260421427780389,1687473362/1183326432915
-15,-8,0.0014240882968156075,,0.0014241852773021386,1685276084/1183326432915
-15,-7,0.0014222198003011276,,0.0014223284118262385,1683078806/1183326432915
-15,-6,0.0014203202488778869,,0.0014204715463503382,1680881528/1183326432915
-15,-5,0.0014184985332917769,,0.0014186146808744381,335736850/236665286583
-15,-4,0.0014166669913259083,,0.0014167578153985378,1676486972/1183326432915
-15,-3,0.0014148319956913758,,0.0014149009499226377,3712394/2623783665
-15,-2,0.0014129965591017305,,0.0014130440844467374,1672092416/1183326432915
-15,-1,0.0014111575981475479,,0.0014111872189708373,1669895138/1183326432915
-15,0,0.0014093275507287362,,0.001409330353494937,333539572/236665286583
-15,1,0.0014074908027982543,,0.0014074734880190369,1665500582/1183326432915
-15,2,0.0014056742251169685,,0.0014056166225431366,1663303304/1183326432915
-15,3,0.0014038876272966635,,0.0014037597570672365,1661106026/1183326432915
-15,4,0.0014020659770546744,,0.0014019028915913361,1658908748/1183326432915
-15,5,0.0014002481597649578,,0.001400046026115436,331342294/236665286583
-14,-10,0.0014274250584686702,,0.0014274693203961708,1689162179/1183326432915
-14,-9,0.0014255487583618367,,0.0014256124549202704,1686964901/1183326432915
-14,-8,0.0014236337223156213,,0.0014237555894443703,153160693/107575130265
-14,-7,0.0014217670344780691,,0.00142189872396847,336514069/236665286583
-14,-6,0.0014199100988661131,,0.0014200418584925699,1680373067/1183326432915
-14,-5,0.0014180212756394954,,0.0014181849930166696,1678175789/1183326432915
-14,-4,0.0014162035396152253,,0.0014163281275407695,1675978511/1183326432915
-14,-3,0.0014143510051439724,,0.0014144712620648692,1673781233/1183326432915
-14,-2,0.0014125129792342856,,0.0014126143965889691,334316791/236665286583
-14,-1,0.0014107076655788305,,0.0014107575311130688,1669386677/1183326432915
-14,0,0.0014088454820749825,,0.0014089006656371687,1667189399/1183326432915
-14,1,0.001407032325756163,,0.0014070438001612684,1664992121/1183326432915
-14,2,0.0014052069427744336,,0.0014051869346853683,1662794843/1183326432915
-14,3,0.0014033839003820925,,0.001403330069209468,30192683/21515026053
-14,4,0.0014016064524896379,,0.0014014732037335679,1658400287/1183326432915
-14,5,0.0013997721323555285,,0.0013996163382576675,1656203009/1183326432915
-14,6,0.0013979596357386419,,0.0013977594727817674,1654005731/1183326432915
-14,7,0.001396164723775962,,0.0013959026073058671,1651808453/1183326432915
-13,-10,0.0014270040353754493,,0.0014270396325384023,1688653718/1183326432915
-13,-9,0.0014250962958538666,,0.0014251827670625019,337291288/236665286583
-13,-8,0.0014231967480862712,,0.0014233259015866018,1684259162/1183326432915
-13,-7,0.0014213293474657643,,0.0014214690361107015,1682061884/1183326432915
-13,-6,0.0014194381207476309,,0.0014196121706348014,1679864606/1183326432915
-13,-5,0.0014176174054375708,,0.0014177553051589011,1677667328/1183326432915
-13,-4,0.0014157565018821658,,0.001415898439683001,335094010/236665286583
-13,-3,0.0014138992586035122,,0.0014140415742071009,1673272772/1183326432915
-13,-2,0.0014120773204343909,,0.0014121847087312006,151915954/107575130265
-13,-1,0.0014102516488145207,,0.0014103278432553005,1668878216/1183326432915
-13,0,0.0014084266164354454,,0.0014084709777794002,1666680938/1183326432915
-13,1,0.0014066245900317684,,0.0014066141123035001,332896732/236665286583
-13,2,0.0014047643718333924,,0.0014047572468275998,1662286382/1183326432915
-13,3,0.0014029943658822289,,0.0014029003813516997,1660089104/1183326432915
-13,4,0.0014011398228499412,,0.0014010435158757994,40436386/28861620315
-13,5,0.0013993476861020712,,0.0013991866503998993,1655694548/1183326432915
-13,6,0.0013974885728500583,,0.001397329784923999,330699454/236665286583
-13,7,0.0013957080932061113,,0.0013954729194480989,1651299992/1183326432915
-13,8,0.0013939203984302498,,0.0013936160539721985,1649102714/1183326432915
-13,9,0.0013921154767320768,,0.0013917591884962984,149718676/107575130265
-12,-10,0.0014265576326030521,,0.0014266099446806338,1688145257/1183326432915
-12,-9,0.0014246913796116647,,0.0014247530792047337,1685947979/1183326432915
-12,-8,0.0014227368570792183,,0.0014228962137288333,1683750701/1183326432915
-12,-7,0.001420877681025289,,0.0014210393482529332,152868493/107575130265
-12,-6,0.0014190352659885265,,0.0014191824827770329,335871229/236665286583
-12,-5,0.0014171602678886193,,0.0014173256173011328,1677158867/1183326432915
-12,-4,0.0014153167119065999,,0.0014154687518252325,1674961589/1183326432915
-12,-3,0.00141346168159383,,0.0014136118863493324,1672764311/1183326432915
-12,-2,0.0014116233374178294,,0.0014117550208734321,1670567033/1183326432915
-12,-1,0.0014097751828113817,,0.001409898155397532,333673951/236665286583
-12,0,0.0014079491724741039,,0.0014080412899216317,1666172477/1183326432915
-12,1,0.0014061429366321078,,0.0014061844244457316,1663975199/1183326432915
-12,2,0.0014043160251199329,,0.0014043275589698313,1661777921/1183326432915
-12,3,0.001402490157240035,,0.0014024706934939312,1659580643/1183326432915
-12,4,0.0014006643167365971,,0.0014006138280180309,30134243/21515026053
-12,5,0.001398837141446578,,0.0013987569625421308,1655186087/1183326432915
-12,6,0.0013970286643142777,,0.0013969000970662307,1652988809/1183326432915
-12,7,0.0013952304943465278,,0.0013950432315903304,1650791531/1183326432915
-12,8,0.0013934272721685325,,0.0013931863661144303,1648594253/1183326432915
-12,9,0.0013916189425080495,,0.0013913295006385299,329279395/236665286583
-12,10,0.0013898287609846352,,0.0013894726351626298,1644199697/1183326432915
-12,11,0.0013880570243654435,,0.0013876157696867295,1642002419/1183326432915
-11,-11,0.0014280157268562097,,0.0014280371222987656,1689834074/1183326432915
-11,-10,0.0014261107101588484,,0.0014261802568228655,1687636796/1183326432915
-11,-9,0.0014242406879970151,,0.0014243233913469652,1685439518/1183326432915
-11,-8,0.0014223006505217602,,0.0014224665258710651,336648448/236665286583
-11,-7,0.0014204233681623859,,0.0014206096603951647,1681044962/1183326432915
