x,y,ell_A,ell_A_exact
-4,-1,0.0014207631201632802,336245311/236665286583
-3.7999999999999998,-1.2,0.001422190297781412,1682915372/1183326432915
-3.7999999999999998,-1,0.0014203334323055117,152792554/107575130265
-3.7999999999999998,-0.80000000000000004,0.0014184765668296116,1678520816/1183326432915
-3.7999999999999998,-0.59999999999999998,0.0014166197013537115,1676323538/1183326432915
-3.6000000000000001,-1.3999999999999999,0.0014236174753995438,1684604189/1183326432915
-3.6000000000000001,-1.2,0.0014217606099236435,1682406911/1183326432915
-3.6000000000000001,-1,0.0014199037444477434,1680209633/1183326432915
-3.6000000000000001,-0.80000000000000004,0.0014180468789718431,335602471/236665286583
-3.6000000000000001,-0.59999999999999998,0.001416190013495943,1675815077/1183326432915
-3.6000000000000001,-0.40000000000000002,0.0014143331480200427,1673617799/1183326432915
-3.6000000000000001,-0.20000000000000001,0.0014124762825441426,1671420521/1183326432915
-3.3999999999999999,-1.6000000000000001,0.0014250446530176756,1686293006/1183326432915
-3.3999999999999999,-1.3999999999999999,0.0014231877875417753,1684095728/1183326432915
-3.3999999999999999,-1.2,0.0014213309220658752,336379690/236665286583
-3.3999999999999999,-1,0.0014194740565899749,1679701172/1183326432915
-3.3999999999999999,-0.80000000000000004,0.0014176171911140748,152500354/107575130265
-3.3999999999999999,-0.59999999999999998,0.0014157603256381745,1675306616/1183326432915
-3.3999999999999999,-0.40000000000000002,0.0014139034601622744,1673109338/1183326432915
-3.3999999999999999,-0.20000000000000001,0.0014120465946863741,334182412/236665286583
-3.3999999999999999,0,0.001410189729210474,1668714782/1183326432915
-3.3999999999999999,0.20000000000000001,0.0014083328637345737,1666517504/1183326432915
-3.2000000000000002,-1.8,0.0014264718306358072,153452893/107575130265
-3.2000000000000002,-1.6000000000000001,0.0014246149651599071,337156909/236665286583
-3.2000000000000002,-1.3999999999999999,0.0014227580996840068,1683587267/1183326432915
-3.2000000000000002,-1.2,0.0014209012342081067,1681389989/1183326432915
-3.2000000000000002,-1,0.0014190443687322064,1679192711/1183326432915
-3.2000000000000002,-0.80000000000000004,0.0014171875032563063,1676995433/1183326432915
-3.2000000000000002,-0.59999999999999998,0.0014153306377804062,334959631/236665286583
-3.2000000000000002,-0.40000000000000002,0.0014134737723045059,1672600877/1183326432915
-3.2000000000000002,-0.20000000000000001,0.0014116169068286058,1670403599/1183326432915
-3.2000000000000002,0,0.0014097600413527055,1668206321/1183326432915
-3.2000000000000002,0.20000000000000001,0.0014079031758768054,1666009043/1183326432915
-3.2000000000000002,0.40000000000000002,0.0014060463104009051,30251123/21515026053
-3.2000000000000002,0.59999999999999998,0.001404189444925005,1661614487/1183326432915
-3,-2,0.001427899008253939,337934128/236665286583
-3,-1.8,0.0014260421427780389,1687473362/1183326432915
-3,-1.6000000000000001,0.0014241852773021386,1685276084/1183326432915
-3,-1.3999999999999999,0.0014223284118262385,1683078806/1183326432915
-3,-1.2,0.0014204715463503382,1680881528/1183326432915
-3,-1,0.0014186146808744381,335736850/236665286583
-3,-0.80000000000000004,0.0014167578153985378,1676486972/1183326432915
-3,-0.59999999999999998,0.0014149009499226377,3712394/2623783665
-3,-0.40000000000000002,0.0014130440844467374,1672092416/1183326432915
-3,-0.20000000000000001,0.0014111872189708373,1669895138/1183326432915
-3,0,0.001409330353494937,333539572/236665286583
-3,0.20000000000000001,0.0014074734880190369,1665500582/1183326432915
-3,0.40000000000000002,0.0014056166225431366,1663303304/1183326432915
-3,0.59999999999999998,0.0014037597570672365,1661106026/1183326432915
-3,0.80000000000000004,0.0014019028915913361,1658908748/1183326432915
-3,1,0.001400046026115436,331342294/236665286583
-2.7999999999999998,-2,0.0014274693203961708,1689162179/1183326432915
-2.7999999999999998,-1.8,0.0014256124549202704,1686964901/1183326432915
-2.7999999999999998,-1.6000000000000001,0.0014237555894443703,153160693/107575130265
-2.7999999999999998,-1.3999999999999999,0.00142189872396847,336514069/236665286583
-2.7999999999999998,-1.2,0.0014200418584925699,1680373067/1183326432915
-2.7999999999999998,-1,0.0014181849930166696,1678175789/1183326432915
-2.7999999999999998,-0.80000000000000004,0.0014163281275407695,1675978511/1183326432915
-2.7999999999999998,-0.59999999999999998,0.0014144712620648692,1673781233/1183326432915
-2.7999999999999998,-0.40000000000000002,0.0014126143965889691,334316791/236665286583
-2.7999999999999998,-0.20000000000000001,0.0014107575311130688,1669386677/1183326432915
