cell,vertex,x,y
0,0,-1.3999999999999999,0
0,1,-1,-0.59999999999999998
0,2,0.20000000000000001,-0.40000000000000002
0,3,0.59999999999999998,0
0,4,0.59999999999999998,0.20000000000000001
0,5,0.40000000000000002,0.80000000000000004
0,6,-0.59999999999999998,1
1,0,-0.80000000000000004,1.2
1,1,-0.59999999999999998,1
1,2,1,1
1,3,0.80000000000000004,1.2
1,4,0.20000000000000001,1.3999999999999999
2,0,-2.7999999999999998,-2
2,1,-2,-1.8
2,2,-2.7999999999999998,-1.6000000000000001
3,0,-1,-2.3999999999999999
3,1,-0.59999999999999998,-2.6000000000000001
3,2,-0.40000000000000002,-2.6000000000000001
4,0,-3.7999999999999998,-1.2
4,1,-3.3999999999999999,-1.3999999999999999
4,2,-3.6000000000000001,-1.2
5,0,-1.2,2.6000000000000001
5,1,-1,2.3999999999999999
5,2,-0.40000000000000002,2.2000000000000002
6,0,1.6000000000000001,1.2
6,1,2.2000000000000002,0.80000000000000004
6,2,2,1
7,0,1,-0.20000000000000001
7,1,1.6000000000000001,-0.40000000000000002
7,2,2.3999999999999999,-0.20000000000000001
7,3,2,0.40000000000000002
8,0,-2.7999999999999998,-1
8,1,-2.3999999999999999,-0.20000000000000001
8,2,-2.7999999999999998,-0.40000000000000002
9,0,1.6000000000000001,-2.2000000000000002
9,1,2,-2
9,2,1.6000000000000001,-2
10,0,-2.2000000000000002,-0.20000000000000001
10,1,-1.3999999999999999,-1
10,2,1,-0.20000000000000001
10,3,1.3999999999999999,0
10,4,1,0.40000000000000002
10,5,-1.3999999999999999,0
11,0,0.59999999999999998,-1.6000000000000001
11,1,3,-1.2
11,2,2.2000000000000002,-1.2
12,0,1.6000000000000001,0.59999999999999998
12,1,2,0.40000000000000002
12,2,2,0.80000000000000004
12,3,1.6000000000000001,1.2
13,0,1.3999999999999999,-1
13,1,2.2000000000000002,-1.2
13,2,2.3999999999999999,-0.59999999999999998
14,0,0.40000000000000002,-1.2
14,1,1.3999999999999999,-1
14,2,1.8,-0.80000000000000004
14,3,1.6000000000000001,-0.40000000000000002
15,0,-2.7999999999999998,-1.6000000000000001
15,1,-2,-1.8
15,2,-2.3999999999999999,-1.6000000000000001
16,0,-3.3999999999999999,-1.6000000000000001
16,1,-3.2000000000000002,-1.8
16,2,-2.7999999999999998,-2
16,3,-2.7999999999999998,-1.6000000000000001
17,0,-3,-1.2
17,1,-2.3999999999999999,-1.6000000000000001
17,2,-2,-1.8
17,3,-2,-1.3999999999999999
18,0,-3,-1.2
18,1,-2,-1.3999999999999999
18,2,-1.6000000000000001,-1.2
18,3,-2.7999999999999998,-1
19,0,-2.2000000000000002,-2.2000000000000002
19,1,-0.59999999999999998,-2.6000000000000001
19,2,-1,-2.3999999999999999
20,0,-1.2,-2.2000000000000002
