i,j,l
477,478,405
435,310,335
138,53,51
267,317,342
1,13,6
405,356,427
366,266,291
628,593,644
654,567,586
59,56,98
577,576,613
427,523,477
469,684,634
590,627,593
619,562,634
585,562,602
138,91,53
12,22,53
39,91,140
39,73,56
111,317,267
418,320,242
416,439,510
138,295,348
348,222,194
39,7,6
98,121,151
121,198,227
239,266,188
1,6,7
67,85,156
64,85,67
151,178,181
214,162,188
59,27,56
151,104,64
552,438,506
654,679,625
156,237,212
438,553,366
280,356,335
98,56,121
436,438,237
645,698,691
709,690,695
237,291,239
335,405,478
602,562,619
627,590,625
371,321,320
506,435,529
647,691,684
576,555,594
427,374,447
469,373,371
555,554,594
690,679,695
576,488,555
511,555,488
509,532,510
392,418,242
555,511,554
514,371,320
554,510,532
613,576,645
111,51,35
138,242,320
22,35,51
39,53,91
111,138,51
143,56,222
552,553,438
440,416,510
321,371,348
576,594,645
138,111,242
391,267,342
320,295,138
440,510,511
469,371,514
391,416,267
321,295,320
488,440,511
348,194,140
478,526,457
140,194,73
552,529,590
356,227,427
590,457,526
171,143,222
171,121,143
73,39,140
282,227,335
1,7,0
151,64,61
64,104,85
61,31,59
151,61,99
3,11,0
50,34,31
98,61,59
56,143,121
227,204,121
204,227,282
31,61,64
151,121,178
156,108,67
477,526,478
85,104,156
237,181,310
34,11,20
204,282,335
67,31,64
156,104,181
438,366,291
335,181,206
291,237,438
335,206,204
204,178,121
477,523,526
506,438,436
585,654,586
7,31,3
457,590,504
418,416,488
447,373,469
506,436,435
335,457,435
506,529,552
335,356,405
627,625,669
529,504,590
644,627,681
593,552,590
553,552,593
567,590,526
684,695,652
625,690,669
625,590,567
447,469,562
684,691,709
647,577,613
558,684,469
585,427,541
652,634,684
619,652,602
562,469,634
242,267,416
416,418,392
415,439,317
439,391,342
416,440,488
317,439,342
242,416,392
577,488,576
511,510,554
488,514,418
391,439,416
691,698,710
691,647,613
691,613,645
194,222,56
22,51,53
91,138,140
1,12,13
295,321,348
53,39,12
374,373,447
7,3,0
13,39,6
13,12,39
194,56,73
111,267,242
171,198,121
171,222,276
567,523,585
457,504,529
427,227,276
644,593,627
39,27,7
171,276,198
39,56,27
198,276,227
7,27,31
27,59,31
151,181,104
31,11,3
11,31,20
31,34,20
99,61,98
151,99,98
67,50,31
108,134,67
68,50,67
162,135,134
134,68,67
134,135,68
156,134,108
212,239,188
156,188,134
188,162,134
181,178,204
239,291,266
156,212,188
156,181,237
310,181,335
310,435,436
212,237,239
266,214,188
181,204,206
436,237,310
227,280,335
227,356,280
457,529,435
335,478,457
405,427,477
276,222,427
652,679,654
523,567,526
567,654,625
681,669,690
690,625,679
691,710,709
681,627,669
567,585,586
652,619,634
654,585,652
523,427,585
652,695,679
684,709,695
554,574,594
514,320,418
427,449,541
585,602,652
541,447,562
449,427,447
222,374,427
222,348,374
138,348,140
373,374,348
371,373,348
509,510,439
585,541,562
449,447,541
415,509,439
645,574,698
577,647,558
532,574,554
509,574,532
514,488,577
684,558,647
469,514,558
558,514,577
594,574,645
