x,y,ell_A,ell_A_exact
-5,6,0.00039556344778168508,6466461876557/16347470709998201
-4.875,5.125,0.00039514812044301321,6459672325053/16347470709998201
-4.875,5.25,0.00039519622782545078,19381376277235/49042412129994603
-4.875,5.375,0.00039524433520788841,19383735579311/49042412129994603
-4.875,5.5,0.00039529244259032598,6462031627129/16347470709998201
-4.875,5.625,0.00039534054997276361,19388454183463/49042412129994603
-4.875,5.75,0.00039538865735520119,19390813485539/49042412129994603
-4.875,5.875,0.00039543676473763881,6464390929205/16347470709998201
-4.75,4.25,0.00039473279310434133,6452882773549/16347470709998201
-4.75,4.375,0.0003947809004867789,19361007622723/49042412129994603
-4.75,4.5,0.00039482900786921653,19363366924799/49042412129994603
-4.75,4.625,0.00039487711525165411,6455242075625/16347470709998201
-4.75,4.75,0.00039492522263409174,19368085528951/49042412129994603
-4.75,4.875,0.00039497333001652931,19370444831027/49042412129994603
-4.75,5,0.00039502143739896694,6457601377701/16347470709998201
-4.75,5.125,0.00039506954478140451,19375163435179/49042412129994603
-4.75,5.25,0.00039511765216384209,19377522737255/49042412129994603
-4.75,5.375,0.00039516575954627971,6459960679777/16347470709998201
-4.75,5.5,0.00039521386692871729,19382241341407/49042412129994603
-4.75,5.625,0.00039526197431115492,19384600643483/49042412129994603
-4.75,5.75,0.00039531008169359249,6462319981853/16347470709998201
-4.625,3.375,0.00039431746576566945,6446093222045/16347470709998201
-4.625,3.5,0.00039436557314810703,19340638968211/49042412129994603
-4.625,3.625,0.00039441368053054466,19342998270287/49042412129994603
-4.625,3.75,0.00039446178791298223,6448452524121/16347470709998201
-4.625,3.875,0.00039450989529541986,19347716874439/49042412129994603
-4.625,4,0.00039455800267785743,19350076176515/49042412129994603
-4.625,4.125,0.00039460611006029506,6450811826197/16347470709998201
-4.625,4.25,0.00039465421744273264,19354794780667/49042412129994603
-4.625,4.375,0.00039470232482517021,19357154082743/49042412129994603
-4.625,4.5,0.00039475043220760784,6453171128273/16347470709998201
-4.625,4.625,0.00039479853959004541,19361872686895/49042412129994603
-4.625,4.75,0.00039484664697248304,19364231988971/49042412129994603
-4.625,4.875,0.00039489475435492061,6455530430349/16347470709998201
-4.625,5,0.00039494286173735824,19368950593123/49042412129994603
-4.625,5.125,0.00039499096911979582,19371309895199/49042412129994603
-4.625,5.25,0.00039503907650223345,6457889732425/16347470709998201
-4.625,5.375,0.00039508718388467102,19376028499351/49042412129994603
-4.625,5.5,0.00039513529126710865,19378387801427/49042412129994603
-4.625,5.625,0.00039518339864954622,6460249034501/16347470709998201
-4.5,2.5,0.00039390213842699758,6439303670541/16347470709998201
-4.5,2.625,0.00039395024580943515,19320270313699/49042412129994603
-4.5,2.75,0.00039399835319187278,19322629615775/49042412129994603
-4.5,2.875,0.00039404646057431035,6441662972617/16347470709998201
-4.5,3,0.00039409456795674798,19327348219927/49042412129994603
-4.5,3.125,0.00039414267533918556,19329707522003/49042412129994603
-4.5,3.25,0.00039419078272162318,6444022274693/16347470709998201
-4.5,3.375,0.00039423889010406076,19334426126155/49042412129994603
-4.5,3.5,0.00039428699748649833,19336785428231/49042412129994603
-4.5,3.625,0.00039433510486893596,6446381576769/16347470709998201
-4.5,3.75,0.00039438321225137354,19341504032383/49042412129994603
-4.5,3.875,0.00039443131963381116,19343863334459/49042412129994603
-4.5,4,0.00039447942701624874,6448740878845/16347470709998201
-4.5,4.125,0.00039452753439868637,19348581938611/49042412129994603
-4.5,4.25,0.00039457564178112394,19350941240687/49042412129994603
