cell,vertex,x,y
0,0,-5,6
0,1,-4.875,5.125
0,2,-4.875,5.25
1,0,-5,6
1,1,-4.875,5.75
1,2,-4.875,5.875
2,0,-5,6
2,1,-4.875,5.25
2,2,-4.875,5.375
3,0,-4.875,5.75
3,1,-4.75,5.625
3,2,-4.875,5.875
4,0,-4.875,5.125
4,1,-4.75,4.625
4,2,-4.75,4.75
5,0,-5,6
5,1,-4.875,5.375
5,2,-4.875,5.625
6,0,-4.875,5.125
6,1,-4.75,4.5
6,2,-4.75,4.625
7,0,-5,6
7,1,-4.875,5.625
7,2,-4.875,5.75
8,0,-4.875,5.125
8,1,-4.75,4.75
8,2,-4.875,5.25
9,0,-5,6
9,1,-4.875,5.875
9,2,-4.5,5.625
10,0,-4.875,5.125
10,1,-4.75,4.25
10,2,-4.75,4.5
11,0,-4.875,5.25
11,1,-4.75,4.75
11,2,-4.875,5.375
12,0,-4.75,4.25
12,1,-4.625,3.375
12,2,-4.625,3.5
13,0,-4.875,5.75
13,1,-4.75,5.375
13,2,-4.625,5.125
13,3,-4.625,5.25
14,0,-4.875,5.375
14,1,-4.75,4.75
14,2,-4.75,5.25
15,0,-4.75,4.75
15,1,-4.625,4
15,2,-4.5,4
16,0,-4.875,5.875
16,1,-4.75,5.75
16,2,-4.5,5.625
17,0,-4.25,1.25
17,1,-4.125,0.625
17,2,-4.125,1
18,0,-4.875,5.375
18,1,-4.75,5.25
18,2,-4.875,5.625
19,0,-4.75,4.25
19,1,-4.625,3.5
19,2,-4.625,4
20,0,-4.875,5.625
20,1,-4.75,5.25
20,2,-4.75,5.375
21,0,-4.875,5.625
21,1,-4.75,5.375
21,2,-4.875,5.75
22,0,-4.75,4.5
22,1,-4.625,4
22,2,-4.75,4.625
23,0,-4.875,5.875
23,1,-4.75,5.625
23,2,-4.625,5.5
24,0,-4.75,4.25
24,1,-4.625,4
24,2,-4.75,4.5
25,0,-4.75,4.625
25,1,-4.625,4
25,2,-4.75,4.75
26,0,-4.75,5.625
26,1,-4.625,5.375
26,2,-4.5,5.25
27,0,-4.625,3.375
27,1,-4.5,2.625
27,2,-4.5,2.75
28,0,-4.75,4.75
28,1,-4.5,4.875
28,2,-4.75,5.25
29,0,-4.625,3.375
29,1,-4.5,2.875
29,2,-4.625,3.5
30,0,-4.75,5.25
30,1,-4.625,5.125
30,2,-4.75,5.375
31,0,-4.625,3.375
31,1,-4.5,2.5
31,2,-4.5,2.625
32,0,-4.875,5.875
