x,y,sigma,sigma_vee,psi
-5,6,0.00054103659642088474,0.00054103659642088474,5.8838482520319459
-4.875,5.125,0.00041299184809924223,0.00041299184809924223,0.70469427191814982
-4.875,5.25,0.00041355228654928048,0.00041355228654928048,0.72736288634529678
-4.875,5.375,0.00041415371865990963,0.00041415371865990963,0.75168961235602494
-4.875,5.5,0.00041501031933730622,0.00041497178864434973,0.78477890708665787
-4.875,5.625,0.00041578985862878983,0.00041578985862878983,0.81786820181729092
-4.875,5.75,0.00041669092256373526,0.00041669092256373526,0.85431443585796363
-4.875,5.875,0.00041787098916766058,0.00041787098916766058,0.90204576985353502
-4.75,4.25,0.00040730990037916208,0.00040730990037916208,0.47487085053634792
-4.75,4.375,0.00040776139317102512,0.00040764282547114993,0.4883370046570723
-4.75,4.5,0.00040797575056313777,0.00040797575056313777,0.50180315877779669
-4.75,4.625,0.00040843431086456185,0.00040843431086456185,0.52035100584979765
-4.75,4.75,0.00040892739890456851,0.00040892739890456851,0.54029543089198717
-4.75,4.875,0.00040960880247875294,0.00040959854290678556,0.56744186349366221
-4.75,5,0.00041063753317984255,0.0004102696869090026,0.59458829609533737
-4.75,5.125,0.00041125066632312091,0.00041094083091121965,0.62173472869701241
-4.75,5.25,0.0004116119749134367,0.0004116119749134367,0.64888116129868745
-4.75,5.375,0.00041248347905527619,0.00041248347905527619,0.68413176082781124
-4.75,5.5,0.00041365612457096567,0.00041343813313254527,0.72274560894519091
-4.75,5.625,0.00041452494437379405,0.00041452494437379405,0.76670495003122185
-4.75,5.75,0.0004158675588724359,0.0004158675588724359,0.82101102127228731
-4.625,3.375,0.00040300922657941177,0.00040300922657941177,0.30091719668404732
-4.625,3.5,0.00040305322016258668,0.00040305322016258668,0.30269664913630601
-4.625,3.625,0.00040393626472557379,0.00040322842083420293,0.30978316590184013
-4.625,3.75,0.00040346419572736853,0.00040340362150581924,0.31686968266737642
-4.625,3.875,0.00040391280456306063,0.00040357882217743554,0.32395619943291271
-4.625,4,0.00040375402284905179,0.00040375402284905179,0.33104271619844683
-4.625,4.125,0.00040454908821585517,0.000404295419924545,0.35294114510799601
-4.625,4.25,0.0004050014210113994,0.00040483681700003826,0.37483957401754747
-4.625,4.375,0.00040560478573701517,0.00040537821407553152,0.39673800292709893
-4.625,4.5,0.00040619957846886438,0.0004059717652496722,0.42074596081874127
-4.625,4.625,0.00040672919889151457,0.00040657535606205132,0.44516000199785177
-4.625,4.75,0.00040730270983119514,0.00040717894687443038,0.46957404317696005
-4.625,4.875,0.00040824640156999017,0.00040781631428172844,0.49535428006735177
-4.625,5,0.00041004023644062633,0.00040848745828394548,0.52250071266902687
-4.625,5.125,0.00040923199156089353,0.00040923199156089353,0.55261559465502152
-4.625,5.25,0.00041018534370135528,0.00041018534370135528,0.59117678203241819
-4.625,5.375,0.00041127466754982986,0.00041127466754982986,0.63523775305551822
-4.625,5.5,0.00041244052208930433,0.00041244052208930433,0.6823942374681814
-4.625,5.625,0.00041412506380891128,0.00041397744346313421,0.7445596331968527
-4.5,2.5,0.00040087766418091893,0.00040087766418091893,0.21469976078980874
-4.5,2.625,0.00040050344338302314,0.00040050344338302314,0.19956327795651987
-4.5,2.75,0.00040031268321116727,0.00040031268321116727,0.19184741052529383
-4.5,2.875,0.00040018468937721633,0.00040018468937721633,0.18667031592964592
-4.5,3,0.00040037092981932743,0.000400235968426032,0.18874445089614231
-4.5,3.125,0.00040028724747484767,0.00040028724747484767,0.1908185858626387
-4.5,3.25,0.00040109447470615926,0.00040043199714089468,0.1966734203549079
-4.5,3.375,0.00040072202780211597,0.00040060719781251093,0.20375993712044199
-4.5,3.5,0.00040087980665856415,0.00040080263973502842,0.21166517200242962
-4.5,3.625,0.00040103251160016306,0.000401018322908447,0.22038912500086422
-4.5,3.75,0.00040250004950973336,0.0004012667374454239,0.23043699619250602
-4.5,3.875,0.00040185127453246523,0.00040154788334595924,0.24180878557735941
-4.5,4,0.00040182902924649453,0.00040182902924649453,0.25318057496221058
-4.5,4.125,0.00040383352125317737,0.00040242258042063521,0.27718853285385298
-4.5,4.25,0.00040301613159477584,0.00040301613159477584,0.30119649074549315
-4.5,4.375,0.0004036998758196703,0.00040361972240715496,0.32561053192460365
-4.5,4.5,0.00040476367121207869,0.00040422331321953407,0.35002457310371415
-4.5,4.625,0.00040488727209933584,0.00040482690403191313,0.37443861428282244
-4.5,4.75,0.00040590225205585799,0.00040543049484429225,0.39885265546193294
-4.5,4.875,0.00040603408565667131,0.00040603408565667131,0.42326669664104127
-4.5,5,0.00040766457018092875,0.00040706998700659058,0.46516683444257589
-4.5,5.125,0.00040822797741100553,0.00040810588835650985,0.50706697224411046
-4.5,5.25,0.00040916346027615073,0.00040916346027615073,0.54984364124974472
