i,j,l
0,1,2
7,0,6
3,0,2
19,7,6
11,12,1
5,0,3
11,1,10
6,0,5
1,12,2
65,0,7
10,1,8
12,3,2
8,21,22
17,35,36
16,3,12
26,52,12
65,7,20
142,145,102
5,3,16
22,26,8
5,16,17
6,17,36
5,17,6
10,26,11
38,7,19
10,8,26
11,26,12
37,62,19
42,21,41
59,16,12
21,43,22
17,16,35
21,40,41
38,20,7
22,43,45
6,36,19
42,43,21
36,37,19
76,22,45
70,106,111
38,96,20
180,0,65
19,62,38
12,54,59
93,36,59
40,66,67
76,26,22
68,40,67
16,59,35
41,40,70
80,26,76
68,70,40
54,12,52
80,52,26
59,36,35
43,42,70
37,36,62
42,41,70
231,180,65
54,52,122
76,43,70
179,135,96
96,131,178
93,59,173
45,43,76
140,188,142
66,98,99
437,385,180
100,67,66
70,68,102
100,66,99
100,142,102
131,62,93
67,102,68
231,65,97
100,102,67
76,111,209
122,52,80
93,62,36
70,102,106
38,62,96
98,136,137
96,97,20
184,188,140
97,65,20
99,137,140
70,111,76
99,98,137
654,703,706
340,291,237
209,111,202
383,282,179
244,142,191
76,209,80
142,188,191
142,99,140
54,122,59
142,100,99
135,97,96
298,202,199
62,131,96
256,462,310
231,97,135
102,145,106
337,442,340
106,145,202
136,181,182
184,137,182
122,324,173
137,136,182
122,173,59
211,162,80
324,275,173
137,184,140
278,383,279
145,199,202
173,131,93
244,191,188
162,122,80
394,495,607
122,162,211
282,135,179
647,282,384
178,179,96
234,237,182
202,256,209
181,232,182
173,277,131
234,182,232
275,277,173
298,199,145
202,111,106
237,188,184
228,277,278
256,202,352
437,180,231
383,228,279
209,211,80
182,237,184
228,178,131
244,188,237
142,244,145
283,286,234
275,378,277
211,209,313
340,394,291
228,131,277
232,283,234
340,237,286
234,286,237
178,383,179
291,244,237
383,486,538
352,202,298
282,231,135
324,744,536
122,211,322
378,275,324
122,322,324
244,291,294
648,437,489
462,256,352
228,278,279
313,209,310
437,231,282
310,209,256
486,383,277
178,228,383
310,462,313
145,244,298
283,334,337
442,337,441
340,286,337
277,383,278
313,474,322
211,313,322
337,286,283
441,438,495
334,386,337
495,394,340
462,467,313
399,294,394
452,454,399
495,340,442
542,180,385
1490,1264,1259
294,291,394
244,294,399
324,474,584
244,399,298
454,298,399
703,654,546
383,647,384
1429,542,955
386,441,337
484,277,378
1004,1150,648
495,442,441
647,489,282
734,474,573
441,386,438
383,384,282
607,915,765
1138,734,834
467,573,313
542,385,437
474,324,322
486,277,484
834,1226,1133
383,538,592
1302,915,1202
489,437,282
648,1291,1004
452,394,607
2054,2092,2055
495,546,654
804,1005,956
399,394,452
509,462,352
509,298,454
1133,1324,1138
674,777,573
735,734,789
298,509,352
536,378,324
454,452,509
955,542,437
648,955,437
765,822,716
536,644,538
926,1222,1226
490,546,438
536,538,484
789,734,1138
509,452,716
438,546,495
536,745,644
1099,592,538
378,536,484
324,584,744
538,486,484
703,598,597
834,573,777
1138,1143,744
1196,1291,1003
1057,805,1006
452,765,716
490,596,597
674,462,509
598,490,597
573,474,313
598,546,490
1108,915,862
647,648,489
598,703,546
383,750,647
467,462,573
862,706,959
1607,1475,1563
383,592,750
654,607,495
1776,1651,1692
1982,1985,1822
822,509,716
1264,926,1259
750,1003,647
959,1057,1202
765,452,607
607,654,706
597,596,805
926,509,822
509,777,674
734,735,474
703,597,805
706,915,607
706,862,915
573,462,674
755,706,703
735,789,474
857,959,755
834,1133,1138
1465,1143,1138
584,474,789
849,745,744
1429,1245,542
584,789,744
849,644,745
536,744,745
647,1003,954
596,804,805
2051,1605,1647
755,703,805
2199,2130,2165
857,755,805
